tx	gene_id	SRX17661462	SRX17661463	SRX17661464	SRX17661465	SRX17661466	SRX17661467	SRX17661468	SRX17661469	SRX17661470	SRX17661471	SRX17661472	SRX17661473	SRX17661474	SRX17661475	SRX17661476	SRX17661477	SRX17661478	SRX17661479	SRX17661480	SRX17661481	SRX17661482	SRX17661483	SRX17661484	SRX17661485	SRX17661486	SRX17661487	SRX17661488	SRX17661489	SRX17661490	SRX17661491	SRX17661492	SRX17661493	SRX17661494	SRX17661495	SRX17661496	SRX17661497	SRX17661498	SRX17661499	SRX17661500	SRX17661501	SRX17661502	SRX17661503	SRX17661504	SRX17661505	SRX17661506	SRX17661507	SRX17661508	SRX17661509	SRX3196051	SRX3196052
g9121.t1	g9121	0.065719	0.0915	0	0.152316	0.046165	0	0.270819	0.041188	0.35932	4.343594	8.380032	5.399898	7.38652	69.018818	19.728489	9.670056	11.29771	2.084194	1.780703	117.575737	105.441344	11.555707	11.895416	16.352074	48.361041	0.603165	1.287535	0.71995	1.728731	0.305128	2.647117	4.669179	4.327836	45.848261	12.453476	18.657566	63.888196	18.853685	23.956613	23.290692	17.064365	12.713418	15.572668	14.935061	52.399573	14.696133	1.481779	12.453085	0	12.5966
g9122.t1	g9122	0.10776	0.257801	2.090181	0.462592	0.106741	0.595457	0.227996	0.191421	0.646806	1.508606	2.229176	2.170717	5.435875	50.571316	15.974256	23.886229	24.515698	52.357211	41.717449	60.006666	46.563504	33.386747	20.872405	25.707859	33.086482	0.170866	0.178959	1.306858	0	0.084644	0.875561	1.323805	1.43456	20.095858	26.715512	28.552221	34.192395	10.269999	14.366421	15.115612	12.59982	24.765758	12.13622	20.895075	18.182065	15.424481	6.63582	11.230988	10.641984	7.044865
g9123.t1	g9123	133.407107	69.120447	379.806678	207.340532	132.180807	493.053286	189.081376	146.964953	293.210898	151.09757	144.673956	154.83387	157.164712	28.791625	38.689167	54.758102	69.336046	70.25821	71.688343	29.43533	36.633057	92.289245	25.261615	17.623174	35.64617	247.714698	107.42716	499.565927	31.229462	144.910945	436.069509	194.098152	351.896205	11.663694	26.232888	18.254055	14.960098	44.214383	30.936217	35.979444	33.75659	34.262464	31.819652	39.916755	42.83418	36.154296	35.04554	33.845234	19.359698	24.030757
g9124.t1	g9124	156.500309	49.504487	108.247998	155.959081	71.020321	65.24806	145.150437	77.280895	88.46709	100.923212	88.969929	97.657873	96.760801	36.888042	37.789429	65.825756	36.331663	93.839476	93.996455	38.711348	79.075014	109.340695	35.106042	59.703423	28.839019	145.411459	62.772133	86.517249	189.230274	80.437288	85.349034	114.376852	71.584272	62.884829	41.765926	41.899116	42.117101	67.966906	92.645627	73.806291	35.745098	25.948108	32.607328	53.965751	72.139556	78.120088	92.9708	64.964988	64.159401	36.932823
g9125.t1	g9125	0	0	0	1.30452	0	0	0	1.603974	1.257583	0	0	0.509613	1.580401	0	0	0	0	0	0	1.499024	7.809129	12.452019	0	2.258903	0	0	2.876634	0	0	1.916586	0	0	0	16.804543	0	0	0	0	0	3.277736	0	0	0	0	0	5.416043	0	1.856384	0	0
g9126.t1	g9126	69.054686	19.594334	154.375541	83.744939	33.321988	151.894391	69.189948	19.814168	76.1107	27.214637	22.001518	25.076823	46.985942	5.306067	6.420731	5.807348	4.831021	49.230708	45.78018	21.566863	69.274365	25.311366	13.98197	36.755248	38.158713	75.189667	13.73969	107.233267	10.944459	19.226208	56.725932	31.230505	36.710967	9.353684	33.981501	20.084385	21.906278	2.136658	36.941773	34.951176	8.943449	4.481767	17.163826	12.13474	49.834314	47.765049	65.229124	40.819892	23.098545	14.832152
g9127.t1	g9127	1.574193	0	0	0.87668	0.870486	0	0	0.733859	9.435773	11.825267	5.592457	4.312242	25.179091	5.397644	0.752782	370.178679	216.199898	0	11.29092	0	0	681.813272	129.353834	1.224061	0	0.863039	0	0	0	0	0	3.526906	0	21.591174	134.222531	73.772478	0	150.935074	38.215865	51.234838	148.877409	154.140142	237.558303	248.469202	0	40.755605	0	17.71854	0	264.881865
g9128.t1	g9128	0.148725	0.890133	2.668559	0.918384	0.48492	0.896576	0.542928	0.677324	2.932603	3.672216	6.027108	5.496272	15.486736	6.411522	1.100797	142.584948	124.124953	1.580387	3.997182	3.099637	3.605865	308.610174	139.933135	0.922608	7.995428	0.710843	1.678441	1.621502	0.65177	0.986335	3.472124	3.969287	3.238613	8.043315	69.780624	13.227768	5.337374	119.70982	42.962671	47.958792	88.135604	147.860338	130.780999	162.993331	1.912089	16.157138	0.185554	13.874769	0	1.504531
g9129.t1	g9129	3639.113228	2475.867741	2264.633093	2972.331426	2394.573949	1849.67384	3477.48133	2192.520114	3450.594097	2597.273748	2382.873039	2507.685384	3073.051949	2728.807727	5886.12781	3458.147422	3349.149566	1802.27282	2236.024734	3116.1621	2936.748119	4802.184447	3956.178236	4109.37254	2747.493658	3277.61076	2241.875464	2422.260361	2679.036055	2295.239482	2377.41569	2799.606995	2160.829289	1009.915772	3599.061094	3377.820296	3931.004274	2184.670591	3237.56523	3334.260615	3284.769066	3661.221259	3542.689466	3602.809427	3486.447274	3286.666372	3088.012677	3231.907846	752.425529	1055.748224
g913.t1	g913	81.302791	120.487214	119.98154	131.9816	158.498151	161.920416	139.031091	315.566973	270.925862	189.665512	150.248984	181.187393	127.476264	62.129306	32.069901	74.528427	96.22509	55.791402	37.840264	48.58284	41.961749	78.944382	90.459169	54.937624	67.61477	156.646734	349.354315	263.097159	55.142349	362.963382	286.138388	191.799178	264.617737	17.603034	74.11476	56.377617	66.412589	149.19473	84.064755	88.471176	64.897534	88.55079	72.883594	75.78279	64.800207	50.59723	57.116215	50.441483	110.493554	102.644814
g9130.t1	g9130	39.842797	15.479803	15.581852	39.774949	18.311959	3.638777	39.555334	15.023964	26.438188	18.411769	15.112867	19.544412	19.264379	12.073979	13.971304	5.197807	11.535232	8.975237	22.332452	7.293788	9.534849	5.402345	6.215418	11.347913	1.392912	31.238117	13.810372	4.503233	22.157058	9.239494	8.141529	21.036506	10.920339	18.305967	11.645123	7.544299	13.695043	0	20.425765	7.630212	7.656562	1.100588	8.803454	8.106235	45.861988	7.432667	42.092426	15.431841	0	18.606663
g9131.t1	g9131	4.881728	3.437485	6.994473	7.600038	8.908424	9.945144	15.036779	18.321521	23.50542	69.362302	71.802897	63.87895	25.217418	35.397875	54.944691	52.677884	57.118282	24.612983	20.999182	47.911047	39.247982	51.890147	50.148232	41.85102	42.857657	20.091161	47.32203	38.556463	26.990993	38.383216	73.02629	63.485305	78.773033	8.510326	41.191068	21.586999	38.645084	108.796501	32.297824	26.006371	62.341247	64.269622	49.115943	54.441444	27.354558	29.397455	18.451574	29.937894	0	7.161639
g9132.t1	g9132	0.358367	0.798217	0	1.791383	3.264369	0	1.934797	2.286807	2.720299	4.91133	3.455262	3.052038	38.764475	78.025137	92.018014	159.955242	206.943549	22.371595	17.245725	28.997899	47.204991	145.674337	123.421818	67.034475	58.271963	2.280311	4.203932	3.830584	6.793711	2.096311	11.640171	2.307659	3.775673	110.726719	48.070177	37.566091	21.930338	3.903138	41.804209	52.068474	143.014646	120.773969	101.298985	163.782716	16.178162	45.691244	23.746995	48.942282	0	0
g9133.t1	g9133	0.113455	0.105058	0	0.131442	0.053047	0.343866	0.138389	0	0.021752	0.150002	0.18418	0.398372	0.184318	5.081722	9.594567	6.198586	10.092196	25.525641	21.183107	6.731046	13.853108	23.303832	32.887591	24.817674	9.178811	0	0.476882	1.241134	0	0.23334	0.380099	0.183659	0.414091	13.112242	16.737535	20.384579	12.454498	1.274006	5.267824	12.887527	23.889491	16.248349	17.664298	27.528225	5.521942	18.612093	7.38129	19.417093	0	1.124657
