Orthogroup	caenorhabditis_elegans.PRJNA13758	nxOscDolc1.1	nxOscOnir1.2	nxOscSper1.1	nxOscSpeu1.1	nxOscTipu1.1	Total
OG0000428	3	2	2	4	3	2	16
OG0000429	5	4	2	1	3	1	16
OG0000430	1	5	2	3	3	2	16
OG0000431	2	2	2	3	3	4	16
OG0000432	5	3	3	2	2	1	16
OG0000433	2	4	2	2	3	3	16
OG0000434	2	2	4	1	3	4	16
OG0000435	7	1	2	1	3	2	16
OG0000436	2	2	1	6	3	2	16
OG0000437	2	2	3	3	3	3	16
OG0000438	2	2	4	3	3	2	16
OG0000439	1	0	1	7	6	1	16
OG0000440	2	5	2	2	3	2	16
OG0000441	2	2	3	3	3	3	16
OG0000442	3	2	7	1	1	2	16
OG0000443	2	3	3	3	3	2	16
OG0000444	4	3	1	2	3	3	16
OG0000445	2	3	2	3	4	2	16
OG0000446	4	2	2	1	3	4	16
OG0000447	2	3	3	2	3	3	16
OG0000448	1	3	2	2	4	4	16
OG0000449	0	8	1	2	3	2	16
OG0000450	0	3	1	1	10	1	16
OG0000451	0	1	2	8	0	5	16
OG0000452	0	4	2	3	4	3	16
OG0000453	0	16	0	0	0	0	16
OG0000454	0	15	0	0	1	0	16
OG0000455	0	16	0	0	0	0	16
OG0000456	0	9	1	1	5	0	16
OG0000457	0	16	0	0	0	0	16
OG0000458	0	2	4	1	4	5	16
OG0000459	0	2	1	0	12	1	16
OG0000460	0	7	2	1	2	4	16
OG0000461	0	1	2	10	1	2	16
OG0000462	0	0	1	15	0	0	16
OG0000463	0	0	0	0	16	0	16
OG0000464	0	0	0	0	16	0	16
OG0000465	3	2	3	3	2	2	15
OG0000466	1	4	2	5	2	1	15
OG0000467	2	2	3	3	3	2	15
OG0000468	1	2	2	3	4	3	15
OG0000469	2	1	3	3	2	4	15
OG0000470	2	2	3	2	3	3	15
OG0000471	4	3	2	2	2	2	15
OG0000472	2	2	3	2	3	3	15
OG0000473	2	2	3	2	3	3	15
OG0000474	4	2	2	2	2	3	15
OG0000475	2	3	4	2	2	2	15
OG0000476	1	4	3	2	2	3	15
OG0000477	2	1	1	1	9	1	15
OG0000478	15	0	0	0	0	0	15
OG0000479	4	3	2	2	2	2	15
OG0000480	2	2	4	2	3	2	15
OG0000481	1	2	4	2	3	3	15
OG0000482	4	2	2	1	3	3	15
OG0000483	4	3	3	2	2	1	15
OG0000484	3	4	2	2	2	2	15
OG0000485	2	4	3	2	2	2	15
OG0000486	14	0	1	0	0	0	15
OG0000487	9	2	1	1	2	0	15
OG0000488	1	2	3	1	5	3	15
OG0000489	2	2	3	3	1	4	15
OG0000490	2	1	1	1	9	1	15
OG0000491	15	0	0	0	0	0	15
OG0000492	1	2	3	3	4	2	15
OG0000493	15	0	0	0	0	0	15
OG0000494	2	2	3	2	3	3	15
OG0000495	1	3	5	2	2	2	15
OG0000496	3	1	3	3	3	2	15
OG0000497	5	3	2	1	3	1	15
OG0000498	2	2	3	2	3	3	15
OG0000499	6	2	2	1	2	2	15
OG0000500	2	3	2	3	3	2	15
OG0000501	1	3	5	1	3	2	15
OG0000502	2	1	4	2	2	4	15
OG0000503	9	2	1	0	3	0	15
OG0000504	5	3	2	1	2	2	15
OG0000505	2	3	3	2	3	2	15
OG0000506	4	3	2	2	2	2	15
OG0000507	1	3	3	2	3	3	15
OG0000508	2	2	3	2	3	3	15
OG0000509	1	3	2	2	4	3	15
OG0000510	1	3	2	3	3	3	15
OG0000511	5	1	3	1	2	3	15
OG0000512	3	2	2	3	3	2	15
OG0000513	3	1	2	3	4	2	15
OG0000514	1	4	1	2	4	3	15
OG0000515	1	2	3	4	2	3	15
OG0000516	1	4	3	3	3	1	15
OG0000517	1	5	1	6	1	1	15
OG0000518	1	4	3	1	3	3	15
OG0000519	1	4	3	2	2	3	15
OG0000520	1	5	3	0	2	4	15
OG0000521	1	8	4	0	1	1	15
OG0000522	1	3	3	2	3	3	15
OG0000523	2	3	2	3	3	2	15
OG0000524	2	1	2	1	7	2	15
OG0000525	0	3	3	3	3	3	15
OG0000526	0	2	0	2	11	0	15
OG0000527	0	6	1	0	6	2	15
OG0000528	0	3	5	2	0	5	15
OG0000529	0	15	0	0	0	0	15
OG0000530	0	14	0	0	1	0	15
OG0000531	0	3	5	0	3	4	15
OG0000532	0	3	3	3	3	3	15
OG0000533	0	4	0	0	10	1	15
OG0000534	0	1	0	1	12	1	15
OG0000535	0	3	4	2	5	1	15
OG0000536	0	3	3	3	4	2	15
